accommodates,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
1,1.0,1.5,1.0,$60.00,,,2,1125,9
6,2.0,1.0,3.0,$140.00,$75.00,$400.00,4,90,53
2,1.0,1.0,1.0,$95.00,$20.00,,2,1125,53
2,1.0,1.0,1.0,$150.00,$30.00,,1,1125,0
2,1.0,1.0,1.0,$214.00,$150.00,$100.00,1,1125,16
4,1.0,1.0,2.0,$129.00,$30.00,,2,1125,362
2,0.0,1.0,1.0,$100.00,,,1,1125,0
2,1.0,1.5,1.0,$120.00,,,1,1125,13
4,2.0,1.5,2.0,$399.00,$100.00,,1,1125,27
2,1.0,1.0,1.0,$84.00,$25.00,,3,21,36
2,1.0,1.0,1.0,$110.00,$50.00,,2,1125,6
5,2.0,2.0,2.0,$200.00,$50.00,,2,1125,0
4,0.0,1.0,2.0,$120.00,$50.00,$250.00,1,1125,9
2,1.0,1.0,1.0,$83.00,$65.00,,1,1125,6
6,1.0,1.0,3.0,$79.00,,,1,365,117
7,4.0,2.0,4.0,$299.00,$150.00,,1,1125,2
3,1.0,1.0,2.0,$207.00,$100.00,,3,1125,2
2,1.0,1.0,1.0,$55.00,,$250.00,2,1125,19
2,1.0,1.0,1.0,$85.00,,,2,7,102
2,1.0,1.0,1.0,$135.00,$20.00,,3,1125,5
3,1.0,1.0,1.0,$100.00,$30.00,,1,1125,7
4,1.0,1.0,1.0,$70.00,$80.00,$250.00,2,365,6
3,0.0,1.0,1.0,$100.00,,,1,8,2
4,2.0,2.0,2.0,$230.00,$60.00,,3,29,29
2,1.0,2.0,3.0,$140.00,$10.00,,1,1125,6
6,3.0,2.0,3.0,$495.00,$200.00,"$1,000.00",2,1125,11
2,1.0,1.0,1.0,$115.00,$20.00,,1,1125,1
1,1.0,1.0,1.0,$65.00,,,1,1125,0
2,0.0,1.0,1.0,$115.00,,,3,14,72
2,1.0,1.0,1.0,$99.00,$25.00,$100.00,1,1125,2
2,0.0,1.0,1.0,$158.00,,,2,1125,22
10,4.0,4.5,5.0,$399.00,$130.00,"$1,000.00",2,1125,0
2,1.0,1.5,1.0,$150.00,,,1,1125,0
4,2.0,2.0,2.0,$289.00,,,7,730,1
4,2.0,1.0,2.0,$150.00,$75.00,$100.00,2,14,43
2,1.0,1.0,1.0,$350.00,$25.00,,5,14,3
5,2.0,2.0,3.0,$298.00,$100.00,,3,1125,2
1,1.0,1.0,1.0,$70.00,$20.00,,1,1125,2
2,1.0,1.0,1.0,$130.00,,$200.00,2,1125,4
2,1.0,1.0,1.0,$100.00,,,3,1125,22
2,1.0,1.0,1.0,$125.00,,,3,10,12
3,1.0,1.0,2.0,$150.00,$15.00,,2,1125,7
1,1.0,1.0,1.0,$95.00,,,1,1125,0
3,1.0,1.0,2.0,$130.00,$30.00,,3,1125,44
3,1.0,1.0,1.0,$250.00,,,2,1125,0
4,1.0,1.0,1.0,$175.00,,,1,1125,0
2,1.0,1.0,1.0,$69.00,$80.00,$250.00,14,28,2
2,1.0,1.0,1.0,$175.00,,,1,1125,4
2,1.0,1.0,1.0,$85.00,,,1,1125,2
4,2.0,1.0,2.0,$180.00,$150.00,$200.00,5,25,1
6,2.0,1.0,3.0,$150.00,$75.00,$400.00,4,90,84
3,1.0,1.0,1.0,$139.00,$75.00,$250.00,1,1125,52
2,1.0,1.0,1.0,$111.00,$59.00,$150.00,1,1125,6
2,1.0,1.0,1.0,$95.00,$25.00,$250.00,1,1125,3
1,1.0,1.0,1.0,$85.00,,,1,1125,5
3,1.0,1.0,1.0,$115.00,$50.00,,7,1125,11
4,2.0,2.0,2.0,$199.00,$150.00,$500.00,7,180,13
2,1.0,1.0,1.0,$150.00,,,2,1125,7
4,1.0,1.0,1.0,$115.00,$30.00,,2,29,49
1,1.0,2.5,1.0,$99.00,,,2,365,120
2,0.0,1.0,1.0,$85.00,$75.00,,1,1125,0
2,1.0,1.0,1.0,$193.00,$75.00,,3,1125,2
5,2.0,2.0,3.0,$298.00,$100.00,,3,1125,5
1,1.0,1.0,1.0,$63.00,,,1,1125,15
8,3.0,2.5,5.0,$299.00,$125.00,"$1,000.00",1,1125,1
4,1.0,1.0,1.0,$185.00,,,3,90,3
4,2.0,1.5,2.0,$120.00,,,1,5,3
2,1.0,1.0,1.0,$125.00,,,1,365,5
2,1.0,2.0,1.0,$110.00,,,1,1125,13
1,1.0,1.5,1.0,$93.00,$15.00,$95.00,1,1125,35
2,0.0,1.0,1.0,$80.00,$5.00,,1,1125,10
2,1.0,1.0,1.0,$195.00,$75.00,$500.00,2,1125,13
2,1.0,1.0,1.0,$90.00,,,1,1125,47
4,2.0,2.0,2.0,$250.00,$45.00,$500.00,1,60,15
2,1.0,1.0,1.0,$225.00,,,2,14,0
3,1.0,1.0,1.0,$135.00,$20.00,$500.00,2,365,44
2,1.0,1.0,1.0,$259.00,,,3,365,3
2,0.0,1.0,2.0,$60.00,$50.00,$200.00,5,19,0
2,1.0,1.0,1.0,$60.00,,,1,1125,4
2,0.0,1.0,1.0,$100.00,$70.00,$150.00,3,300,2
4,1.0,1.0,1.0,$100.00,$25.00,$100.00,3,4,5
3,1.0,1.0,1.0,$109.00,,,2,5,1
10,3.0,1.5,4.0,$312.00,$150.00,$500.00,2,1125,1
4,0.0,1.0,2.0,$175.00,,,3,30,8
4,2.0,2.0,2.0,$375.00,$40.00,,1,8,0
2,1.0,1.0,1.0,$71.00,$78.00,,2,1125,4
2,1.0,1.0,1.0,$110.00,$20.00,,1,1125,0
2,1.0,1.0,1.0,$75.00,$20.00,,2,1125,3
4,1.0,1.0,3.0,$150.00,$100.00,$100.00,1,1125,11
4,1.0,1.0,1.0,$120.00,$25.00,,2,4,20
4,1.0,1.0,2.0,$119.00,$50.00,$150.00,3,1125,1
2,1.0,1.0,1.0,$200.00,$75.00,$200.00,2,1125,5
12,5.0,3.0,6.0,$600.00,$150.00,,1,1125,0
3,0.0,1.0,2.0,$175.00,,,3,90,0
2,1.0,1.0,1.0,$119.00,$50.00,$150.00,2,1125,1
3,1.0,1.0,2.0,$209.00,$49.00,$200.00,1,1125,2
3,1.0,1.0,2.0,$135.00,$20.00,$100.00,1,1125,0
2,1.0,1.0,1.0,$45.00,,,1,1125,4
8,2.0,1.0,3.0,$250.00,$100.00,$500.00,2,1125,5
2,1.0,1.0,1.0,$80.00,,,2,1125,9
2,1.0,1.0,1.0,$110.00,$20.00,,1,1125,0
4,1.0,1.0,3.0,$150.00,$100.00,$100.00,1,1125,5
1,0.0,1.0,1.0,$105.00,$35.00,,1,1125,15
6,1.0,2.0,3.0,$119.00,$40.00,,1,1125,0
2,0.0,1.0,1.0,$90.00,,,1,1125,1
12,4.0,3.5,4.0,$340.00,$185.00,$250.00,2,1125,0
2,0.0,1.0,1.0,$180.00,,,1,1125,0
4,1.0,1.0,2.0,$265.00,,,1,1125,15
2,0.0,1.0,1.0,$105.00,$15.00,,1,1125,2
4,1.0,3.0,2.0,$240.00,$75.00,$250.00,3,30,0
2,1.0,1.0,1.0,$98.00,$50.00,$250.00,4,1125,4
2,1.0,1.0,1.0,$112.00,,,6,22,1
3,1.0,1.0,1.0,$110.00,$35.00,,2,1125,114
4,1.0,1.0,3.0,$140.00,$100.00,$100.00,1,1125,6
1,1.0,1.0,1.0,$70.00,,,5,1125,4
5,1.0,1.0,4.0,$229.00,$85.00,$200.00,3,365,16
4,2.0,2.5,2.0,$162.00,$30.00,,1,1125,14
2,0.0,1.0,1.0,$102.00,$50.00,$100.00,2,9,5
2,1.0,1.5,1.0,$73.00,,,2,1125,40
4,1.0,1.0,2.0,$190.00,,$250.00,2,1125,15
6,1.0,1.0,3.0,$149.00,$40.00,,2,1125,215
2,1.0,1.5,1.0,$80.00,$35.00,,2,1125,1
2,1.0,1.5,1.0,$99.00,$25.00,,2,1125,6
2,0.0,1.0,1.0,$120.00,$30.00,,1,31,89
5,1.0,1.0,2.0,$150.00,$70.00,,3,14,18
14,5.0,3.0,7.0,$599.00,$150.00,$500.00,1,1125,0
1,0.0,1.0,1.0,$62.00,,,14,1125,1
2,1.0,1.0,1.0,$50.00,,,1,1125,1
5,2.0,1.5,2.0,$240.00,$35.00,,1,14,16
2,1.0,1.0,1.0,$139.00,$50.00,$100.00,5,1125,6
2,0.0,1.0,1.0,$150.00,,,1,1125,0
5,2.0,1.0,2.0,$250.00,$75.00,,4,15,2
1,1.0,1.0,1.0,$68.00,$7.00,,1,1125,16
4,2.0,2.0,2.0,$299.00,,,4,365,3
13,6.0,3.0,8.0,$720.00,$185.00,,1,1125,1
2,1.0,1.0,1.0,$200.00,$50.00,$250.00,1,1125,10
2,1.0,1.0,1.0,$71.00,$10.00,,1,1125,1
2,1.0,1.0,1.0,$125.00,,$300.00,1,4,149
6,2.0,1.0,2.0,$145.00,$93.00,,1,1125,54
2,,1.0,,$130.00,$7.00,$100.00,1,2,1
3,1.0,1.0,2.0,$185.00,,,2,14,1
7,2.0,1.0,6.0,$225.00,$130.00,$100.00,1,1125,11
4,2.0,2.0,2.0,$130.00,$100.00,$300.00,1,1125,1
6,2.0,1.5,2.0,$178.00,$75.00,,1,1125,4
1,1.0,1.0,1.0,$80.00,,,3,32,98
1,1.0,1.0,1.0,$90.00,$35.00,,3,1125,20
2,2.0,1.0,1.0,$125.00,,,1,3,7
4,1.0,1.0,2.0,$120.00,$40.00,,2,1125,85
1,0.0,1.0,1.0,$80.00,,$500.00,3,9,0
2,1.0,1.0,1.0,$100.00,$40.00,,2,1125,0
2,1.0,1.0,1.0,$105.00,$20.00,$100.00,2,7,18
2,0.0,1.0,1.0,$128.00,$55.00,,1,1125,7
6,2.0,1.0,4.0,$300.00,,,1,1125,5
4,2.0,1.5,2.0,$275.00,$125.00,,4,1125,19
3,1.0,1.0,1.0,$200.00,$50.00,,2,1125,2
5,2.0,1.0,3.0,$280.00,$69.00,,2,40,11
2,1.0,1.5,1.0,$99.00,$25.00,,2,1125,20
5,2.0,2.0,2.0,$175.00,,,1,1125,1
1,1.0,1.0,1.0,$97.00,$11.00,$100.00,1,1125,15
3,1.0,1.0,2.0,$130.00,$30.00,,3,1125,23
2,1.0,1.0,1.0,$215.00,,,2,14,0
2,1.0,1.0,1.0,$75.00,,$500.00,14,30,4
4,1.0,1.0,2.0,$185.00,,,2,14,1
1,1.0,1.0,1.0,$70.00,$7.00,,1,1125,19
2,0.0,1.0,1.0,$97.00,,,1,1125,0
3,1.0,1.0,1.0,$130.00,,$150.00,2,1125,2
2,1.0,1.0,1.0,$120.00,,,1,1125,3
4,1.0,1.0,1.0,$110.00,$60.00,$110.00,2,2,1
2,1.0,1.5,1.0,$225.00,,,2,1125,2
4,1.0,1.0,3.0,$140.00,$100.00,$100.00,1,1125,6
2,1.0,2.0,1.0,$160.00,,$100.00,1,1125,8
2,1.0,1.0,1.0,$125.00,,,1,110,116
2,1.0,1.5,1.0,$150.00,,,3,1125,4
1,1.0,1.0,1.0,$90.00,$25.00,$150.00,2,1125,4
16,8.0,8.0,16.0,"$1,250.00",,,1,1125,0
8,4.0,2.5,4.0,$390.00,$100.00,$150.00,2,1125,1
2,1.0,1.0,1.0,$100.00,$50.00,$100.00,1,60,16
2,1.0,1.0,1.0,$150.00,,,2,6,7
4,1.0,1.0,1.0,$95.00,$75.00,$400.00,3,365,13
7,3.0,1.5,4.0,$250.00,,,1,1125,6
2,1.0,1.0,1.0,$65.00,$5.00,,1,29,26
1,1.0,1.0,1.0,$70.00,,,4,1125,1
7,3.0,1.5,4.0,$290.00,$100.00,,2,90,36
2,1.0,1.0,1.0,$120.00,$15.00,,1,1125,133
6,1.0,1.0,3.0,$130.00,$30.00,,2,1125,4
2,1.0,1.0,1.0,$84.00,$25.00,,3,21,22
2,1.0,1.0,1.0,$129.00,$25.00,,1,1125,1
3,0.0,1.0,1.0,$125.00,$30.00,,1,1125,2
3,1.0,1.0,1.0,$150.00,,,1,1125,5
3,1.0,1.0,1.0,$130.00,$50.00,,2,1125,5
2,1.0,1.0,1.0,$210.00,$45.00,$150.00,3,20,11
6,3.0,2.5,3.0,$497.00,$140.00,$750.00,1,1125,51
2,0.0,1.0,1.0,$100.00,$95.00,$300.00,3,1125,1
6,2.0,3.0,2.0,$300.00,$75.00,,1,1125,1
3,0.0,1.0,2.0,$108.00,$65.00,$200.00,1,1125,1
6,2.0,2.5,2.0,$300.00,,,4,1125,0
4,1.0,1.0,2.0,$75.00,,,1,1125,4
2,1.0,1.0,1.0,$120.00,$40.00,$100.00,1,14,15
2,1.0,1.0,1.0,$249.00,,,4,730,0
2,1.0,1.0,1.0,$100.00,,,1,1125,1
4,1.0,1.0,1.0,$125.00,,$100.00,2,365,27
1,0.0,1.0,1.0,$145.00,,,1,1125,2
4,2.0,2.0,2.0,$330.00,$60.00,$500.00,2,1125,17
1,1.0,1.0,1.0,$60.00,,$100.00,2,93,6
2,1.0,1.5,1.0,$69.00,$50.00,$100.00,1,1125,77
4,1.0,1.0,2.0,$130.00,$30.00,,3,1125,15
2,1.0,1.0,1.0,$129.00,,$250.00,3,90,71
2,1.0,1.0,1.0,$249.00,,,4,730,0
6,1.0,1.0,3.0,$79.00,$40.00,,1,29,2
4,1.0,1.0,2.0,$164.00,$60.00,$400.00,2,365,23
6,2.0,2.0,3.0,$164.00,$40.00,,1,27,0
4,2.0,2.0,2.0,$299.00,$50.00,,1,1125,9
2,1.0,1.0,1.0,$130.00,$20.00,$120.00,2,8,10
2,1.0,1.0,1.0,$125.00,,,2,4,8
2,1.0,1.0,1.0,$190.00,,,2,6,0
2,1.0,1.5,1.0,$125.00,,,1,3,0
2,1.0,1.0,1.0,$65.00,$40.00,$200.00,3,365,3
2,1.0,1.5,1.0,$75.00,$30.00,,2,14,15
1,1.0,2.0,1.0,$85.00,,,1,1125,1
5,2.0,2.0,3.0,$229.00,$100.00,,3,1125,0
15,6.0,3.0,9.0,$500.00,$150.00,$100.00,1,28,41
6,1.0,1.0,4.0,$250.00,$20.00,,1,14,6
5,1.0,1.0,2.0,$117.00,$50.00,,6,1125,6
11,3.0,2.5,3.0,$298.00,$150.00,,2,60,69
6,2.0,1.0,4.0,$200.00,$130.00,$100.00,1,1125,8
4,1.0,1.0,2.0,$110.00,$40.00,$100.00,1,1125,0
2,0.0,1.0,1.0,$120.00,$15.00,,1,1125,38
10,3.0,3.0,6.0,$450.00,$100.00,,2,1125,6
4,1.0,1.0,2.0,$99.00,$70.00,$500.00,2,365,54
8,2.0,0.0,4.0,$275.00,$75.00,$300.00,2,7,7
2,1.0,1.0,1.0,$185.00,,,2,14,0
5,1.0,1.0,2.0,$120.00,$50.00,,1,1125,2
2,0.0,1.0,1.0,$150.00,,,1,1125,4
3,1.0,1.0,1.0,$121.00,$60.00,$300.00,1,7,2
2,1.0,1.0,1.0,$75.00,,$100.00,1,1125,0
2,0.0,1.0,1.0,$105.00,,$500.00,4,32,26
2,0.0,1.0,1.0,$150.00,$40.00,,1,1125,4
4,0.0,1.0,1.0,$100.00,$10.00,,2,1125,4
4,2.0,2.0,2.0,$249.00,$150.00,,7,365,0
5,2.0,1.0,2.0,$275.00,$80.00,,2,1125,15
4,2.0,2.0,2.0,$160.00,$25.00,$250.00,2,1125,12
6,3.0,3.5,3.0,$475.00,$200.00,$500.00,3,1125,1
2,0.0,1.0,1.0,$115.00,$50.00,,3,365,41
6,1.0,2.5,16.0,$45.00,,,1,1125,2
6,2.0,2.5,2.0,$150.00,$75.00,,3,29,51
2,1.0,1.0,1.0,$90.00,,,3,1125,5
4,1.0,1.0,2.0,$217.00,$50.00,$150.00,4,1125,5
2,1.0,2.0,1.0,$97.00,$25.00,,2,14,5
14,5.0,3.0,7.0,$399.00,$150.00,$500.00,1,1125,2
4,0.0,1.0,2.0,$118.00,$35.00,$95.00,1,14,28
4,1.0,1.0,2.0,$130.00,$75.00,$400.00,4,90,31
6,1.0,1.0,6.0,$36.00,,,1,1125,11
4,1.0,1.0,1.0,$100.00,,,1,1125,0
3,1.0,1.0,1.0,$125.00,$50.00,,2,1125,1
7,1.0,2.0,4.0,$300.00,$60.00,,3,1125,8
4,2.0,2.0,2.0,$199.00,,,2,366,0
4,2.0,1.5,2.0,$150.00,$30.00,,1,1125,2
2,0.0,1.0,1.0,$125.00,$35.00,,2,10,23
2,1.0,1.0,1.0,$110.00,,,1,30,157
4,2.0,2.0,2.0,$320.00,$120.00,$500.00,3,1125,0
2,1.0,1.0,1.0,$88.00,$65.00,,1,1125,1
5,3.0,3.0,2.0,$329.00,$50.00,$300.00,1,1125,4
2,1.0,1.0,1.0,$99.00,,,1,1125,3
1,1.0,1.0,1.0,$59.00,$10.00,$100.00,2,1125,8
6,2.0,1.0,2.0,$70.00,$25.00,$100.00,3,365,80
2,1.0,1.0,1.0,$75.00,,,1,1125,0
3,1.0,1.0,3.0,$70.00,,$200.00,1,14,9
1,1.0,1.0,1.0,"$1,300.00",,,1,1125,0
1,1.0,1.0,1.0,$58.00,$10.00,,2,20,6
2,1.0,1.0,1.0,$55.00,$10.00,,1,1125,1
2,1.0,1.0,1.0,$47.00,,$200.00,1,1125,50
2,1.0,1.0,1.0,$60.00,$20.00,$100.00,1,31,36
4,1.0,1.0,2.0,$135.00,$70.00,$175.00,2,7,4
3,1.0,1.0,2.0,$89.00,$45.00,$100.00,4,120,75
6,1.0,1.0,5.0,$150.00,$20.00,,1,1125,18
1,1.0,1.0,1.0,$65.00,$50.00,,1,1125,1
5,1.0,1.0,2.0,$109.00,$45.00,$100.00,2,365,28
4,,1.0,3.0,$99.00,$45.00,$100.00,2,365,68
2,1.0,1.0,1.0,$69.00,,,2,1125,17
4,2.0,2.5,2.0,$300.00,$125.00,"$1,200.00",7,1125,0
4,1.0,1.0,2.0,$114.00,,,3,1125,18
1,1.0,1.0,1.0,$100.00,$50.00,$250.00,4,1125,0
1,1.0,1.0,1.0,$69.00,$150.00,$200.00,2,365,5
6,3.0,3.5,4.0,$350.00,$100.00,$500.00,2,1125,1
1,1.0,1.0,1.0,$100.00,$40.00,,2,180,13
1,1.0,1.0,1.0,$115.00,$50.00,$250.00,4,1125,0
2,,1.0,1.0,$99.00,$45.00,$100.00,2,365,19
1,1.0,1.0,1.0,$43.00,$50.00,$250.00,1,1125,0
1,1.0,1.0,1.0,$50.00,,,1,1125,0
9,4.0,2.0,4.0,$380.00,$140.00,$490.00,3,1125,1
2,1.0,1.0,1.0,$80.00,$50.00,$250.00,3,365,14
2,1.0,1.0,1.0,$149.00,$45.00,$100.00,4,109,8
1,1.0,1.0,1.0,$39.00,,,1,1125,0
3,1.0,1.0,3.0,$50.00,$50.00,"$1,500.00",1,1125,1
5,0.0,1.0,1.0,$115.00,$85.00,$300.00,3,1125,15
9,5.0,3.5,6.0,$850.00,,,1,1125,0
1,1.0,1.0,1.0,$58.00,$50.00,,14,1125,0
11,6.0,4.5,11.0,$650.00,$200.00,$500.00,7,1125,2
4,1.0,1.0,2.0,$150.00,$50.00,$500.00,6,30,5
2,1.0,1.0,1.0,$99.00,$20.00,$500.00,2,45,1
4,,1.0,2.0,$110.00,$55.00,$100.00,2,365,33
1,1.0,1.0,1.0,$40.00,,,1,1125,0
2,1.0,1.0,1.0,$110.00,$50.00,$250.00,4,1125,0
3,1.0,1.0,1.0,$165.00,$25.00,,1,1125,4
5,1.0,2.5,4.0,$600.00,$100.00,"$1,000.00",4,1125,0
8,5.0,4.0,6.0,$299.00,$100.00,$200.00,2,1125,8
2,1.0,1.0,2.0,$120.00,$30.00,,1,1125,1
6,3.0,2.5,4.0,$260.00,$130.00,$200.00,3,60,28
2,1.0,1.0,1.0,$125.00,$50.00,,1,1125,4
8,4.0,4.5,5.0,$500.00,$200.00,$500.00,3,1125,8
3,1.0,1.0,2.0,$175.00,$25.00,,1,1125,2
1,1.0,2.0,1.0,$33.00,,$100.00,1,1125,10
3,1.0,1.0,3.0,$40.00,,$100.00,1,1125,46
2,1.0,2.0,1.0,$60.00,$10.00,,1,365,67
2,1.0,1.0,2.0,$33.00,,$100.00,1,1125,34
1,1.0,1.0,1.0,$50.00,$10.00,,1,1125,7
2,1.0,1.0,1.0,$49.00,$25.00,,1,1125,11
1,1.0,1.0,3.0,$38.00,$60.00,$450.00,2,1125,2
2,1.0,1.0,1.0,$65.00,,,1,1125,2
2,1.0,1.0,1.0,$49.00,,,1,1125,3
2,1.0,1.0,1.0,$59.00,,,2,11,66
4,2.0,2.0,2.0,$200.00,$70.00,$250.00,2,28,0
5,1.0,1.0,3.0,$113.00,$50.00,$100.00,1,1125,0
8,4.0,2.0,4.0,$250.00,,$200.00,2,1125,13
6,1.0,1.0,3.0,$65.00,$60.00,$550.00,2,365,9
5,3.0,2.5,4.0,$169.00,$75.00,,4,30,4
16,1.0,1.0,1.0,"$1,000.00",,,1,1125,0
4,1.0,1.0,1.0,$99.00,$45.00,,1,1125,0
4,2.0,1.0,2.0,$145.00,$50.00,,3,1125,6
2,2.0,1.0,2.0,$115.00,$75.00,,1,1125,4
2,1.0,1.0,1.0,$100.00,$25.00,$600.00,1,1125,11
2,1.0,1.0,1.0,$55.00,,,3,1125,4
1,1.0,1.0,1.0,$55.00,,,1,1125,0
1,1.0,1.0,1.0,$34.00,$60.00,$500.00,1,1125,0
4,1.0,1.0,1.0,$99.00,$45.00,$200.00,2,365,13
4,2.0,1.5,2.0,$105.00,,,1,1125,0
4,2.0,1.0,3.0,$125.00,$50.00,,1,1125,1
2,1.0,1.0,1.0,$44.00,$15.00,$400.00,2,1125,4
2,0.0,1.0,1.0,$67.00,$10.00,$250.00,1,6,2
1,1.0,1.0,1.0,$43.00,$20.00,$95.00,1,1125,0
1,1.0,1.0,1.0,$30.00,$5.00,,1,1,1
7,3.0,1.5,4.0,$192.00,$75.00,$200.00,1,1125,3
2,1.0,1.0,1.0,$46.00,$15.00,$400.00,2,100,4
2,1.0,1.0,1.0,$95.00,$50.00,$100.00,3,1125,0
7,3.0,2.5,3.0,$175.00,$40.00,$250.00,3,1125,0
2,1.0,1.0,1.0,$65.00,$15.00,$100.00,1,160,27
3,1.0,1.0,1.0,$79.00,,,1,1125,5
1,1.0,,1.0,$99.00,,,2,730,7
1,1.0,,1.0,$99.00,,,2,730,4
6,3.0,2.0,3.0,$299.00,$100.00,,2,29,25
2,1.0,1.0,2.0,$135.00,,,1,1125,1
2,1.0,1.0,1.0,$59.00,,,2,1125,26
3,1.0,1.5,2.0,$94.00,$25.00,,2,31,15
4,1.0,1.0,2.0,$99.00,$40.00,$100.00,1,31,18
2,1.0,2.0,1.0,$70.00,,,2,1125,14
5,2.0,1.0,2.0,$140.00,$65.00,$150.00,2,1125,11
4,1.0,1.0,2.0,$95.00,,,1,1125,0
4,1.0,1.0,2.0,$71.00,,,2,1125,27
2,1.0,1.0,1.0,$74.00,,$500.00,1,1125,3
2,1.0,1.5,1.0,$129.00,$50.00,$500.00,3,1125,11
2,1.0,1.0,1.0,$150.00,$30.00,$125.00,1,4,0
2,1.0,1.0,1.0,$70.00,$25.00,$95.00,1,1125,4
3,1.0,1.0,1.0,$60.00,,,1,1125,6
2,1.0,1.5,1.0,$79.00,$15.00,,1,32,7
2,1.0,1.0,1.0,$79.00,$20.00,,1,1125,75
2,1.0,1.0,1.0,$120.00,$30.00,$100.00,2,15,8
2,1.0,1.0,1.0,$75.00,,$200.00,2,90,8
2,1.0,1.0,1.0,$120.00,,,3,16,19
8,4.0,4.0,5.0,$350.00,$150.00,$100.00,1,15,20
2,1.0,1.0,1.0,$85.00,,,1,3,5
2,1.0,1.0,1.0,$75.00,,$100.00,2,1125,4
12,5.0,2.0,5.0,$215.00,$135.00,$100.00,2,1825,34
2,1.0,1.0,1.0,$96.00,$25.00,$100.00,2,1125,54
6,2.0,2.0,3.0,$165.00,$40.00,$200.00,3,1125,1
7,3.0,2.0,4.0,$239.00,$125.00,$300.00,3,180,30
2,1.0,1.0,1.0,$72.00,,$250.00,4,1125,24
2,1.0,1.0,1.0,$60.00,,,1,5,23
2,1.0,1.0,2.0,$90.00,$60.00,$200.00,1,60,33
4,1.0,1.0,1.0,$128.00,$35.00,$100.00,1,30,85
4,2.0,1.0,2.0,$150.00,,$100.00,1,1125,2
2,1.0,1.0,1.0,$75.00,,$100.00,1,1125,0
5,2.0,2.0,3.0,$350.00,,,2,1125,14
4,2.0,1.0,2.0,$195.00,$75.00,$480.00,1,1125,6
1,0.0,1.0,1.0,$95.00,$50.00,,5,1125,0
6,3.0,3.0,3.0,$350.00,$150.00,$250.00,3,365,20
2,1.0,0.0,1.0,$85.00,$30.00,,3,1125,1
3,1.0,1.0,1.0,$139.00,$75.00,,3,1125,3
6,3.0,3.0,3.0,$650.00,$80.00,,3,1125,0
8,3.0,3.0,3.0,$550.00,$220.00,,3,1125,11
2,1.0,1.0,2.0,$115.00,$60.00,,5,1125,0
6,4.0,3.5,4.0,$500.00,,,1,5,0
2,1.0,1.0,1.0,$155.00,$60.00,$800.00,3,1125,10
2,0.0,1.0,1.0,$178.00,,,1,1125,4
2,1.0,1.0,1.0,$155.00,$60.00,$800.00,3,1125,5
3,1.0,1.0,2.0,$155.00,$75.00,,3,365,27
5,1.0,1.0,1.0,$99.00,$100.00,,1,365,10
2,0.0,1.0,1.0,$165.00,,,3,1125,1
5,2.0,2.5,4.0,$375.00,,$500.00,2,1125,2
4,1.0,1.0,2.0,$175.00,,,1,1125,7
1,1.0,1.0,1.0,$60.00,$10.00,,10,1125,5
2,0.0,1.0,1.0,$120.00,$30.00,"$1,000.00",1,1125,23
2,1.0,1.0,1.0,$300.00,,,2,1125,7
2,1.0,1.5,1.0,$130.00,,,1,1125,12
2,1.0,1.0,1.0,$300.00,,,2,1125,1
2,1.0,1.0,1.0,$100.00,,,3,14,0
2,0.0,1.0,1.0,$120.00,,,1,1125,0
3,2.0,1.0,2.0,$325.00,$20.00,,3,30,17
2,1.0,1.0,1.0,$180.00,,,1,1125,2
4,4.0,3.5,4.0,$350.00,$200.00,$350.00,1,1125,0
2,1.0,1.0,1.0,$70.00,$29.00,$299.00,1,27,4
2,1.0,1.0,1.0,$85.00,,,1,1125,6
3,2.0,1.5,2.0,$225.00,$125.00,$500.00,2,30,0
6,3.0,2.0,3.0,$474.00,$120.00,"$1,000.00",7,29,1
4,1.0,1.0,2.0,$110.00,,$500.00,1,1125,1
2,1.0,1.0,1.0,$109.00,,,1,7,3
4,2.0,1.5,2.0,$300.00,,"$1,000.00",4,1125,2
6,3.0,3.5,4.0,$775.00,$250.00,"$2,000.00",4,93,1
4,1.0,1.0,2.0,$140.00,$100.00,,2,7,11
6,3.0,3.5,3.0,$595.00,$200.00,"$1,000.00",7,1125,4
5,2.0,1.0,5.0,$249.00,$99.00,$250.00,1,30,7
2,1.0,1.0,1.0,$110.00,,$100.00,1,1125,0
1,1.0,1.0,1.0,$60.00,$10.00,,25,1125,1
4,2.0,1.0,3.0,$201.00,$75.00,$100.00,2,90,11
1,0.0,1.0,1.0,$95.00,$50.00,,5,1125,0
7,4.0,2.5,4.0,$975.00,$180.00,$750.00,2,1125,11
2,1.0,1.0,1.0,$179.00,$35.00,,2,1125,6
4,0.0,1.5,2.0,$375.00,,,2,365,3
1,1.0,1.5,1.0,$125.00,$100.00,$200.00,3,21,10
2,0.0,1.0,1.0,$120.00,$75.00,,2,1125,8
4,1.0,1.0,2.0,$200.00,$70.00,$300.00,2,1125,11
4,1.0,1.0,2.0,$129.00,$50.00,$250.00,2,90,7
6,2.0,1.5,3.0,$225.00,$125.00,$500.00,3,90,4
2,0.0,1.0,1.0,$185.00,,,1,1125,4
4,2.0,1.0,3.0,$299.00,$130.00,,3,365,4
1,1.0,1.0,1.0,$65.00,$10.00,,7,1125,21
4,3.0,2.0,3.0,$600.00,,,2,1125,0
